brand,page_id,market,retailer,source_mode,library_id,media_type,start_date,ad_text
IT Cosmetics,42420028113,US,ulta,page,1611094866883823,image,2026-02-23,"Ontdek CC+ Cream van IT Cosmetics met SPF 50, voor kleurcorrectie, hoge dekking, anti-aging verzorging en bescherming tegen de zon."
IT Cosmetics,42420028113,US,ulta,page,2257824524701822,image,2026-01-09,"Shop award-winning skincare & makeup! Plus, receive complimentary shipping on qualifying orders."
IT Cosmetics,42420028113,US,ulta,page,782686704887019,image,2026-03-10,"CC+ CREAM ORIGINAL de It Cosmetics, de tu piel real a tu piel ideal. El tratamiento 7-en-1 con color. Ahora también disponible en formato mini."
IT Cosmetics,42420028113,US,ulta,page,1402202007901599,image,2026-03-10,"CC+ CREAM ORIGINAL de It Cosmetics, de tu piel real a tu piel ideal. El tratamiento 7-en-1 con color. Ahora también disponible en formato mini."
IT Cosmetics,42420028113,US,ulta,page,1438785381022149,image,2026-03-10,"CC+ CREAM ORIGINAL de It Cosmetics, de tu piel real a tu piel ideal. El tratamiento 7-en-1 con color. Ahora también disponible en formato mini."
IT Cosmetics,42420028113,US,ulta,page,4359549434328792,image,2026-02-23,"Ontdek CC+ Cream van IT Cosmetics met SPF 50, voor kleurcorrectie, hoge dekking, anti-aging verzorging en bescherming tegen de zon."
IT Cosmetics,42420028113,US,ulta,page,1690290858655081,image,2026-03-19,NEW Do It All Sheer Tint Face Balm! Made with 92% skincare with collagen peptide.
IT Cosmetics,42420028113,US,ulta,page,1251108343261772,image,2026-03-19,NEW Do It All Sheer Tint Face Balm! Made with 92% skincare with collagen peptide.
IT Cosmetics,42420028113,US,ulta,page,1658357225524721,image,2026-02-23,"Ontdek CC+ Cream van IT Cosmetics met SPF 50, voor kleurcorrectie, hoge dekking, anti-aging verzorging en bescherming tegen de zon."
IT Cosmetics,42420028113,US,ulta,page,913407081460176,image,2026-03-19,"""It's my skincare, my coverage, all in one step."" Jennie Garth on It Cosmetics Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,911847111260976,image,2026-02-23,"Ontdek CC+ Cream van IT Cosmetics met SPF 50, voor kleurcorrectie, hoge dekking, anti-aging verzorging en bescherming tegen de zon."
IT Cosmetics,42420028113,US,ulta,page,963649429670014,image,2026-03-19,"""It's my skincare, my coverage, all in one step."" Jennie Garth on It Cosmetics Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,1272986440855678,image,2026-03-19,"""It's my skincare, my coverage, all in one step."" Jennie Garth on It Cosmetics Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,910040984847214,image,2026-02-23,"Kristin Davis gebruikt CC+ Cream van IT Cosmetics, voor kleurcorrectie, hoge dekking, anti-aging verzorging en bescherming tegen de zon."
IT Cosmetics,42420028113,US,ulta,page,1968682204025681,image,2026-03-19,"""This is what you need after 40."" Erica Taylor on NEW Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,1476339070755740,image,2026-03-19,"""This is what you need after 40."" Erica Taylor on NEW Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,918992077695111,image,2026-03-19,"""It's my skincare, my coverage, all in one step."" Jennie Garth on It Cosmetics Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,1465333605008023,image,2026-03-19,"""It's my skincare, my coverage, all in one step."" Jennie Garth on It Cosmetics Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,1280925003933582,image,2026-03-19,NEW Do It All Sheer Tint Face Balm! Made with 92% skincare with collagen peptide.
IT Cosmetics,42420028113,US,ulta,page,1493861852174436,image,2026-03-19,"""It's my skincare, my coverage, all in one step."" Jennie Garth on It Cosmetics Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,1657710595364646,image,2026-03-19,NEW Do It All Sheer Tint Face Balm! Made with 92% skincare with collagen peptide.
IT Cosmetics,42420028113,US,ulta,page,1591895855377361,image,2026-03-19,"""It's my skincare, my coverage, all in one step."" Jennie Garth on It Cosmetics Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,4376567685954827,image,2026-03-19,"""It's my skincare, my coverage, all in one step."" Jennie Garth on It Cosmetics Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,925493560377974,image,2026-03-19,"""This is what you need after 40."" Erica Taylor on NEW Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,1690674191973746,image,2026-03-19,NEW Do It All Sheer Tint Face Balm! Made with 92% skincare with collagen peptide.
IT Cosmetics,42420028113,US,ulta,page,1322750126346810,image,2026-03-19,NEW Do It All Sheer Tint Face Balm! Made with 92% skincare with collagen peptide.
IT Cosmetics,42420028113,US,ulta,page,1936932613854687,image,2026-03-19,"""It's my skincare, my coverage, all in one step."" Jennie Garth on It Cosmetics Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,806383145814370,image,2026-03-16,Introducing the NEW Do It All Sheer Tint Face Balm powered by 92% skincare with collagen Peptide!
IT Cosmetics,42420028113,US,ulta,page,1180012864040468,image,2026-03-17,Introducing the NEW Do It All Sheer Tint Face Balm powered by 92% skincare with collagen Peptide!
IT Cosmetics,42420028113,US,ulta,page,1334698802041150,image,2026-03-19,"""It's my skincare, my coverage, all in one step."" Jennie Garth on It Cosmetics Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,1849009655801875,image,2026-03-19,NEW Do It All Sheer Tint Face Balm! Made with 92% skincare with collagen peptide.
IT Cosmetics,42420028113,US,ulta,page,1674505100578390,image,2026-03-19,"""This is what you need after 40."" Erica Taylor on NEW Do It All Sheer Tint Face Balm."
IT Cosmetics,42420028113,US,ulta,page,1459290412532235,image,2026-03-19,NEW Do It All Sheer Tint Face Balm! Made with 92% skincare with collagen peptide.
medicube,1236886609665645,US,ulta,page,773745375374690,image,2025-09-18,"Say goodbye to dull, dry skin with this Overnight Collagen Peel Off Mask!"
medicube,1236886609665645,US,ulta,page,2018939018861853,image,2025-09-18,"Ranked #1 on Amazon, This Collagen Jelly Cream Is the K-Beauty Must-Have for That Glossy, Glowing, Youthful Look – It’s Viral for a Reason."
medicube,1236886609665645,US,ulta,page,524991559721904,image,2023-02-13,The reason why your tights look dusty🙀.. No more dry & flaky skin on your legs!👀
medicube,1236886609665645,US,ulta,page,723571895945389,image,2023-02-13,The easiest way to deal with ingrown hair & KP👊👊
medicube,1236886609665645,US,ulta,page,1449568389664821,image,2025-09-18,"Ranked #1 on Amazon, This Collagen Jelly Cream Is the K-Beauty Must-Have for That Glossy, Glowing, Youthful Look – It’s Viral for a Reason."
medicube,1236886609665645,US,ulta,page,1652011639260773,image,2026-03-19,Glow Up for Spring with medicube🌸✨
medicube,1236886609665645,US,ulta,page,929351575261697,image,2024-03-18,The buzz is real as this 716K beauty influencer's glass skin secret has been revealed.
medicube,1236886609665645,US,ulta,page,1652736365733500,image,2026-03-18,"Hey Discount Hunter! 🔑 We've got a secret code just for you. Not available on the main page, but we're sharing it here... exclusively with YOU! ⏳ Tap now to grab your extra discount - only valid for 7 days!"
