gd_no,Page,Rating,Review,UserInfo,SkinType,Review_en,Review_ko,text_for_model,keybert_keywords,primary_category,categories
1184035014,1,5,サンプルマーケットで当選しました🔥【ニューロペップ8リセット トナー】【ニューロペップ8リセット アンプルセラム】こちらの化粧水と美容液をいただきましたのでレビューさせていただきます✨✳︎【トナー】水々しくて軽いテクスチャで水分がスッと肌に入ります！混合肌ですが、刺激も全く感じず、重ね付けしてもベタつきなし✨コットンより手でなじませたほうが潤いを感じました☺️✳︎【セラム】結構とろみはあり、ジェルのように粘度がある感じですが、重すぎず、肌にピタッと密着しました✨使用前後の写真の通り、ハリが出て毛穴が目立ちづらくなりました！！トナー後に使うとツヤ感が更にUPしました😆✳︎【使用感】刺激なし🙆♀️香りはトナーのほうが発酵美容液のような感じの香りがしますが、セラムはあまり感じませんでした！1日しか使用していないため、劇的変化はありませんが、ハリツヤ感は見た目に分かるくらい出ました✨使い続けて整えていくタイプの商品かと思います。✳︎【おすすめタイプ】肌の土台を整えたい方ハリツヤ不足ゆらぎが気になる方水分をしっかり入れたい方✳︎混合肌でもベタつかず問題なく使用できました😊 価格帯を考えても満足度は高めだと思います🔥,Mim*** | 2026.02.17 | 1個目:セラム | 2個目:トナー,オプション : 1個目:セラム / 2個目:トナー肌タイプ : 混合肌肌トーン : イエベ,"I won at the sample market 🔥 [Neuropep 8 Reset Toner] [Neuropep 8 Reset Ampoule Serum] I received this lotion and serum, so I would like to review it ✨✳︎ [Toner] The watery and light texture absorbs moisture into your skin easily! I have combination skin, but it didn't irritate my skin at all, and it didn't feel sticky even when I layered it.✨It felt more moisturizing when I applied it with my hands than with cotton.☺️✳︎[Serum] It's quite thick and has a gel-like viscosity, but it's not too heavy, and it adheres tightly to my skin✨As you can see in the before and after photos, it's firmer and my pores are less noticeable! ! When I used it after the toner, the shine was even better 😆✳︎ [Usage] No irritation 🙆♀️ The toner smells more like a fermented serum, but the serum doesn't really smell like it! I've only used it for one day, so there hasn't been a dramatic change, but I can see it's firmness and shine✨I think it's the type of product that will improve with continued use. ✳︎[Recommended type] For those who want to improve the foundation of their skin, those who are concerned about lack of firmness, lack of shine, and fluctuations, and those who want to add moisture ✳︎ Even on combination skin, I was able to use it without any stickiness and no problems 😊 Considering the price range, I think the level of satisfaction is high 🔥","샘플마켓에서 당첨됐어요🔥 [뉴로펩 8 리셋 토너] [뉴로펩 8 리셋 앰플 세럼] 로션과 세럼을 받아서 리뷰하고 싶어요 ✨✳︎ [토너] 촉촉하고 가벼운 질감이 피부에 수분을 쉽게 흡수해줍니다! 복합성인데 피부에 전혀 자극이 없고 레이어드해도 끈적임이 없었어요✨ 화장솜으로 바르는 것보다 손으로 발랐을 때 더 촉촉한 느낌이었어요☺️✳︎[세럼] 꽤 두껍고 젤 같은 점도인데 무겁지 않고 피부에 촘촘하게 밀착되더라구요✨ 비포애프터 사진에서 보시다시피 탄력이 눈에 띄지 않고 모공이 덜 눈에 띄더라구요! ! 토너 다음 사용하면 윤기가 더 좋아졌어요😆✳︎ [사용법] 자극 없음 🙆♀️ 토너는 발효세럼 향이 더 나는데 세럼은 냄새가 별로 안나요! 하루밖에 사용하지 않아서 드라마틱한 변화는 없지만, 탄력과 광채가 확연히 느껴집니다✨계속 사용할수록 좋아지는 타입의 제품인 것 같아요. ✳︎[추천 타입] 피부 기초를 개선하고 싶은 분들, 탄력 부족, 윤기 부족, 요동이 걱정되는 분들, 촉촉함을 더해주고 싶은 분들 ✳︎ 복합성 피부에도 끈적임 없이 문제 없이 사용할 수 있었어요 😊 가격대를 생각하면 만족도가 높은 것 같아요🔥","I won at the sample market 🔥 [Neuropep 8 Reset Toner] [Neuropep 8 Reset Ampoule Serum] I received this lotion and serum, so I would like to review it ✨✳︎ [Toner] The watery and light texture absorbs moisture into your skin easily! I have combination skin, but it didn't irritate my skin at all, and it didn't feel sticky even when I layered it.✨It felt more moisturizing when I applied it with my hands than with cotton.☺️✳︎[Serum] It's quite thick and has a gel-like viscosity, but it's not too heavy, and it adheres tightly to my skin✨As you can see in the before and after photos, it's firmer and my pores are less noticeable! ! When I used it after the toner, the shine was even better 😆✳︎ [Usage] No irritation 🙆♀️ The toner smells more like a fermented serum, but the serum doesn't really smell like it! I've only used it for one day, so there hasn't been a dramatic change, but I can see it's firmness and shine✨I think it's the type of product that will improve with continued use. ✳︎[Recommended type] For those who want to improve the foundation of their skin, those who are concerned about lack of firmness, lack of shine, and fluctuations, and those who want to add moisture ✳︎ Even on combination skin, I was able to use it without any stickiness and no problems 😊 Considering the price range, I think the level of satisfaction is high 🔥","['lotion serum', 'toner watery', 'pores noticeable', 'stickiness problems', 'neuropep reset']",효과_성분,"['효과_성분', '사용감_텍스처', '피부_트러블_부작용']"
1184035014,1,5,最近個人的に気になっているマイクロバイオームを使っているとの事でこちらが気になり、応募したら当たりました！ありがとうございます。トナーもセラムも使いやすかったです。トナーはサラサラ系ですが保湿力もあります。セラムはジュレのような感じでツヤ感が出て良かったです！そして２つとも良い香りで、お花とか紅茶とかが近いのでしょうか、華やかな気分になります。！まだ1日しか使用してないのですがとても使用感が良く、継続して使ってみようと思います。ライン使いもしてみたいです。今回はありがとうございます！,min*** | 2026.02.17 | 1個目:セラム | 2個目:トナー,オプション : 1個目:セラム / 2個目:トナー肌タイプ : 混合肌肌トーン : ブルベ肌の悩み : ニキビ・肌荒れ,"I was interested in this because it uses the microbiome, which I have been personally interested in recently, so I applied and won! thank you. Both the toner and serum were easy to use. The toner is smooth but also moisturizing. The serum felt like a jelly and gave me a nice glow! Both scents are nice, and I feel like they're similar to flowers or black tea, giving me a gorgeous feeling. ! I've only been using it for one day, but it feels great and I plan to continue using it. I would like to try using the line. Thank you for this time!","최근 개인적으로 관심이 많았던 마이크로바이옴을 활용한 제품이라 관심이 생겨 신청해서 당첨됐어요! 감사합니다. 토너와 세럼 모두 사용하기 편했어요. 토너는 부드러우면서도 촉촉해요. 세럼은 젤리같은 느낌이면서 윤기가 나더라구요! 둘 다 향이 좋고, 꽃이나 홍차와 비슷한 느낌이라 화사한 느낌을 줍니다. ! 아직 하루밖에 사용하지 않았지만 느낌이 너무 좋아서 계속 사용할 생각입니다. 라인을 사용해 보고 싶습니다. 이번에는 감사합니다!","I was interested in this because it uses the microbiome, which I have been personally interested in recently, so I applied and won! thank you. Both the toner and serum were easy to use. The toner is smooth but also moisturizing. The serum felt like a jelly and gave me a nice glow! Both scents are nice, and I feel like they're similar to flowers or black tea, giving me a gorgeous feeling. ! I've only been using it for one day, but it feels great and I plan to continue using it. I would like to try using the line. Thank you for this time!","['toner serum', 'uses microbiome', 'smooth moisturizing', 'scents nice', 'using line']",효과_성분,"['효과_성분', '사용감_텍스처', '향_냄새']"
1184035014,1,4,日本初上陸というフレーズと共にネットの広告で何度か見かけて気になって応募したところ、当選しました！ありがとうございます😊私はトナーとセラムをいただき、届いたその日の夜から連続で5日間使用しました。私の肌は敏感乾燥肌で、でも油分の多いお手入れをするとニキビができる難しい肌質です。こちらの商品は敏感肌でも心地良いテクスチャーということで期待していました。実際に使用した感想は、トナーは少しとろみのあるテクスチャーで、１回でさっぱり、２回つけるとしっとりしました。香りもほんのりお花の香りで使いやすいです。セラムは私に届いた物はジェルくらいの粘度があり、スポイトで出すとポッテリした感じ。のばすとベタベタはしないのですが、私の場合は塗った後ツヤというよりテカテカに見えるようで、娘から顔テカテカだよ！？と言われました笑あと、使った初日にピリピリと刺激を感じてショックでした。１日あけて３日目からまた使用してみたところ、刺激は感じなくなったのですが、敏感肌でも刺激を感じる場合があるという事を記しておきます。また、セラムはスポイトの吸いが悪くうまく出て来なかったり、セラムが容器のふちにたまり容器の口がセラムでデロデロになったり、とにかく容器のストレスがすごくて⋯。申し訳ありませんがリピは無しです。箱や容器に日本語表記があったり、商品説明の冊子が入っているのはわかりやすくて良かったです。,ike*** | 2026.02.21 | 1個目:セラム | 2個目:トナー,オプション : 1個目:セラム / 2個目:トナー肌タイプ : 敏感肌肌トーン : イエベ,"I saw the phrase ""first landing in Japan"" in several online advertisements and was intrigued, so I applied and was selected! Thank you 😊 I received the toner and serum and used them for 5 days straight from the night they arrived. My skin is sensitive and dry, but it's difficult for me to get acne if I use oil-rich skin care. I had high hopes for this product as it has a texture that is comfortable even for sensitive skin. My impressions after actually using it were that the toner had a slightly thick texture and felt refreshing after one application, and moisturized after applying it twice. It has a light floral scent and is easy to use. The serum I received had a gel-like consistency, and when dispensed with a dropper, it felt like a lumpy mess. It doesn't feel sticky when you spread it out, but in my case it looks shiny rather than shiny after application, and my daughter says her face is shiny! ? lol Also, I was shocked because I felt a tingling sensation on the first day I used it. When I tried using it again on the third day after a day's delay, I no longer felt any irritation, but I would like to note that even sensitive skin may experience irritation. Also, the serum doesn't come out properly due to poor suction from the dropper, serum accumulates at the edge of the container and the mouth of the container becomes mushy with serum, and the container is under a lot of stress. Sorry, there are no repeat orders. It was nice that the boxes and containers were written in Japanese and included a booklet with product explanations that was easy to understand.","여러 온라인 광고에서 '일본 최초 상륙'이라는 문구를 보고 호기심이 생겨 지원을 하게 되었고, 선정되었습니다! 감사합니다 😊 토너와 세럼을 받고 배송받은 날부터 5일동안 바로 사용했어요. 제 피부는 민감하고 건조한 편인데 오일이 풍부한 스킨케어를 사용하면 여드름이 나기 어렵습니다. 민감한 피부에도 편안한 사용감이 특징인 제품이라 기대가 컸어요. 실제로 사용해본 소감은 토너는 살짝 걸쭉한 질감으로 1회 바르면 산뜻한 느낌이 들었고, 2회 바르면 촉촉해지는 느낌이었어요. 은은한 꽃향기가 나고 사용하기 편해요. 제가 받은 세럼은 젤 같은 제형이었는데, 스포이드를 사용하면 덩어리진 듯한 느낌이 들었습니다. 펴발랐을 때 끈적이는 느낌은 아닌데, 저 같은 경우는 바르고 나면 윤기보다는 윤기가 나는 것 같고, 딸아이가 얼굴이 윤기가 난다고 하네요! ? ㅋㅋㅋ 그리고 저도 사용 첫날 따끔거림을 느껴서 깜짝 놀랐어요. 하루 지체 후 3일째에 다시 사용해보니 전혀 자극이 느껴지지 않았으나 민감한 피부라도 자극이 있을 수 있다는 점 참고 부탁드립니다. 또한, 드로퍼의 흡입력이 약하여 세럼이 제대로 나오지 않고, 세럼이 용기 가장자리에 쌓이고, 세럼으로 인해 용기 입구가 흐물흐물해지며, 용기가 많은 스트레스를 받게 됩니다. 죄송합니다. 재주문은 없습니다. 상자와 용기에는 일본어로 적혀 있고, 알기 쉬운 제품 설명이 적힌 책자가 포함되어 있어서 좋았습니다.","I saw the phrase ""first landing in Japan"" in several online advertisements and was intrigued, so I applied and was selected! Thank you 😊 I received the toner and serum and used them for 5 days straight from the night they arrived. My skin is sensitive and dry, but it's difficult for me to get acne if I use oil-rich skin care. I had high hopes for this product as it has a texture that is comfortable even for sensitive skin. My impressions after actually using it were that the toner had a slightly thick texture and felt refreshing after one application, and moisturized after applying it twice. It has a light floral scent and is easy to use. The serum I received had a gel-like consistency, and when dispensed with a dropper, it felt like a lumpy mess. It doesn't feel sticky when you spread it out, but in my case it looks shiny rather than shiny after application, and my daughter says her face is shiny! ? lol Also, I was shocked because I felt a tingling sensation on the first day I used it. When I tried using it again on the third day after a day's delay, I no longer felt any irritation, but I would like to note that even sensitive skin may experience irritation. Also, the serum doesn't come out properly due to poor suction from the dropper, serum accumulates at the edge of the container and the mouth of the container becomes mushy with serum, and the container is under a lot of stress. Sorry, there are no repeat orders. It was nice that the boxes and containers were written in Japanese and included a booklet with product explanations that was easy to understand.","['toner serum', 'moisturized applying', 'acne use', 'feel sticky', 'japan online']",사용감_텍스처,"['사용감_텍스처', '포장_배송', '효과_성분']"
1184035014,1,5,サンプルマーケットで当選しました！ありがとうございます😊クレンジングオイルはウォータープルーフマスカラもするりんと落ちて、とても使いやすい。セラムは、塗り心ちもよく、肌にスーッと馴染み、肌がツヤツヤになった。,fum*** | 2026.03.09 | 1個目:クレンジング | 2個目:セラム,"オプション : 1個目:クレンジング / 2個目:セラム肌タイプ : 混合肌肌トーン : イエベ肌の悩み : 毛穴, しわ・たるみ","I won at the sample market! Thank you 😊 The cleansing oil removes waterproof mascara easily and is very easy to use. The serum was easy to apply, absorbed easily into the skin, and left my skin glowing.",샘플마켓에서 당첨됐어요! 감사합니다 😊 클렌징 오일은 워터프루프 마스카라도 쉽게 지워지고 사용하기도 매우 간편해요. 세럼은 바르기 쉽고 피부에 쉽게 흡수되어 피부를 윤기있게 만들어주었습니다.,"I won at the sample market! Thank you 😊 The cleansing oil removes waterproof mascara easily and is very easy to use. The serum was easy to apply, absorbed easily into the skin, and left my skin glowing.","['mascara easily', 'cleansing oil', 'use serum', 'removes waterproof', 'won sample']",효과_성분,"['효과_성분', '사용감_텍스처', '지속력_밀착력']"
1184035014,1,5,化粧水と美容液をサンプルマーケットで頂き、使ってみました。どちらも甘い香りがしてトロッとしたテクスチャーでした。トロッとしてるのにベタつかず、しっかりと保湿されるのでとても気に入りました。毛穴も目立たなくなったような気もしました。無くなってしまったら買ってみたいと思いました！,Cho*** | 2026.03.14 | 1個目:セラム | 2個目:トナー,"オプション : 1個目:セラム / 2個目:トナー肌タイプ : 混合肌肌トーン : イエベ肌の悩み : ニキビ・肌荒れ, 毛穴",I received the lotion and serum at the sample market and tried them out. Both had a sweet scent and a thick texture. I really liked it because it's thick but not sticky and moisturizes well. I also felt like my pores were less noticeable. I wanted to buy it when it ran out!,샘플마켓에서 로션과 세럼을 받아 직접 사용해봤습니다. 둘 다 달콤한 향기와 걸쭉한 질감을 갖고 있었습니다. 두껍지만 끈적이지 않고 보습력도 좋아서 정말 마음에 들었어요. 모공도 덜 눈에 띄는 것 같았어요. 품절되면 사고 싶었는데!,I received the lotion and serum at the sample market and tried them out. Both had a sweet scent and a thick texture. I really liked it because it's thick but not sticky and moisturizes well. I also felt like my pores were less noticeable. I wanted to buy it when it ran out!,"['lotion serum', 'scent texture', 'pores noticeable', 'tried sweet', 'sample market']",효과_성분,"['효과_성분', '사용감_텍스처', '향_냄새']"
1184035014,1,5,画像↓↓↓使用前の右頬(夜)個人的に1番と言っていいほど気になっている赤み。画像↓↓↓使用して１週間後の右頬(朝)【使用するケア用品】朝、洗顔なし。拭き取り化粧水(オードムーゲ)のみ。夜、洗顔あり。その後化粧水(無印)+本商品+乳液(無印)【使ってみて】一回目の使用後は、若干のヒリヒリ感があって、｢あ、今、合わないのかも。｣と思い、洗い流しました。そのため肌の土台を先に整えるために、本商品使用前に１週間保湿を最も優先した化粧水+乳液を使いました。その後２回目を使用したところ、ヒリヒリ感はなく安定して使用できました。肌の状態を先に整えた方がぜっっったいにいいです。毎朝鏡をかならず見る機会があるので、見るには見るのですが、はじめは何も変化がなかったです。3.4回目辺りで赤みが少し引いてきました。5.6.7回目は赤みはだいぶ引いてきて、比較していくとかなり安定してきました。ですが、少しだけ朝の感想が気になりました。【まとめ】肌の調子が悪いと、本商品の成分だと強いのかなと思います。しっかり肌の調子を整えてから使うのをオススメします。赤みは引きます。,han*** | 2026.03.08 | 1個目:クレンジング | 2個目:セラム,オプション : 1個目:クレンジング / 2個目:セラム肌タイプ : 混合肌肌トーン : イエベ,"Image ↓↓↓Right cheek before use (at night) Redness is something I personally worry about the most. Image ↓↓↓Right cheek after 1 week of use (morning) [Care products used] Morning, no face wash. Only wipe-off lotion (Eau de Mouge). There is a face wash at night. After that, lotion (unbranded) + this product + emulsion (unbranded) [Try it] After the first use, I felt a slight stinging sensation, and I thought, ""Oh, maybe it doesn't suit me now,"" so I washed it off. Therefore, in order to prepare the foundation of my skin first, I used a lotion + emulsion that prioritized moisturizing for a week before using this product. After that, when I used it for the second time, there was no stinging sensation and I was able to use it stably. It's definitely better to get your skin conditioned first. I always have the opportunity to look in the mirror every morning, so I keep looking, but at first I didn't notice any changes. By the 3rd or 4th time, the redness had subsided a little. After the 5th, 6th, and 7th treatments, the redness went down considerably, and as I compared it, it became much more stable. However, I was a little curious about your impressions this morning. [Summary] If your skin is not in good condition, I think the ingredients in this product are strong. We recommend that you use it after your skin is properly conditioned. Removes redness.","이미지 ↓↓↓사용 전(밤) 오른쪽 뺨 개인적으로 가장 걱정되는 것이 붉은기입니다. 이미지 ↓↓↓사용 1주일 후(아침) 오른쪽 볼 [사용한 케어 제품] 아침, 세안 없음. 닦아내는 로션(Eau de Mouge)만 사용하세요. 밤에는 세안이 있습니다. 그 후 로션(무상) + 본 제품 + 에멀전(무상) [사용해 보세요] 처음 사용 후 살짝 따끔한 느낌이 있어서 '아, 지금은 안 어울릴지도 모르겠다'라고 생각해서 씻어냈어요. 그래서 먼저 피부의 파운데이션을 정돈하기 위해 본 제품을 사용하기 전 일주일간 보습을 최우선으로 하는 로션+에멀전을 사용했어요. 그 후 두번째 사용시에도 따끔거리는 느낌이 전혀 없어 안정적으로 사용할 수 있었습니다. 확실히 피부를 먼저 컨디셔닝하는 것이 좋습니다. 매일 아침 거울을 볼 기회가 늘 있어서 계속 보고 있지만 처음에는 아무런 변화도 느끼지 못했습니다. 3~4회 정도 되니 붉은기가 조금 가라앉더라구요. 5, 6, 7회 시술 후 붉은기가 많이 줄어들었고, 비교해보니 많이 안정되었습니다. 그런데 오늘 아침 당신의 감상이 조금 궁금했어요. [정리] 피부 상태가 좋지 않다면 이 제품의 성분이 강한 것 같아요. 피부가 적절하게 컨디셔닝된 후에 사용하는 것을 권장합니다. 붉은기를 제거합니다.","Image ↓↓↓Right cheek before use (at night) Redness is something I personally worry about the most. Image ↓↓↓Right cheek after 1 week of use (morning) [Care products used] Morning, no face wash. Only wipe-off lotion (Eau de Mouge). There is a face wash at night. After that, lotion (unbranded) + this product + emulsion (unbranded) [Try it] After the first use, I felt a slight stinging sensation, and I thought, ""Oh, maybe it doesn't suit me now,"" so I washed it off. Therefore, in order to prepare the foundation of my skin first, I used a lotion + emulsion that prioritized moisturizing for a week before using this product. After that, when I used it for the second time, there was no stinging sensation and I was able to use it stably. It's definitely better to get your skin conditioned first. I always have the opportunity to look in the mirror every morning, so I keep looking, but at first I didn't notice any changes. By the 3rd or 4th time, the redness had subsided a little. After the 5th, 6th, and 7th treatments, the redness went down considerably, and as I compared it, it became much more stable. However, I was a little curious about your impressions this morning. [Summary] If your skin is not in good condition, I think the ingredients in this product are strong. We recommend that you use it after your skin is properly conditioned. Removes redness.","['night lotion', 'treatments redness', 'slight stinging', 'cheek use', 'emulsion prioritized']",피부_트러블_부작용,"['피부_트러블_부작용', '효과_성분', '재구매_추천']"
1184035014,1,5,サンプルマーケットで当選しました！ありがとうございます！セラムとろみがあるテクスチャーで、しっとりと浸透します。朝も夜も使える肌に優しいスキンケア。私は特に朝使用がおすすめで、メイクノリが良くなる気がします。クレンジングオイルクレンジングで、気になる毛穴や角質の汚れを落とします。洗い上がりがさっぱりとして、気持ちよかったです。ドパミーには他の商品もたくさんあるので、試してみたいと思いました。,ike*** | 2026.03.02 | 1個目:クレンジング | 2個目:セラム,オプション : 1個目:クレンジング / 2個目:セラム肌タイプ : 敏感肌肌トーン : ブルベ肌の悩み : ニキビ・肌荒れ,"I won at the sample market! thank you! The serum has a thick texture that penetrates deeply. Skin-friendly skin care that can be used morning and night. I especially recommend using it in the morning, as I feel like it helps my makeup go on better. Cleansing Oil Cleansing removes dirt from pores and dead skin cells. It felt refreshing and felt good after washing. Dopamy has a lot of other products, so I wanted to try them out.","샘플마켓에서 당첨됐어요! 감사합니다! 세럼은 두꺼운 질감으로 깊숙이 침투합니다. 아침, 저녁으로 사용 가능한 피부 친화적 스킨케어입니다. 특히 메이크업이 잘 유지되는 것 같아서 아침에 사용하는 걸 추천해요. 클렌징 오일 클렌징은 모공 속 노폐물과 각질을 제거해줍니다. 상쾌한 느낌이 들었고, 씻고 나면 기분이 좋아졌습니다. 도파미에는 다른 제품도 많아서 꼭 써보고 싶었어요.","I won at the sample market! thank you! The serum has a thick texture that penetrates deeply. Skin-friendly skin care that can be used morning and night. I especially recommend using it in the morning, as I feel like it helps my makeup go on better. Cleansing Oil Cleansing removes dirt from pores and dead skin cells. It felt refreshing and felt good after washing. Dopamy has a lot of other products, so I wanted to try them out.","['serum texture', 'cleansing oil', 'dopamy lot', 'recommend using', 'morning feel']",사용감_텍스처,"['사용감_텍스처', '효과_성분', '재구매_추천']"
1184035014,1,5,今回サンプルマーケットに当選し、トナーとセラムを使用させていただきました♡以前からドーパミンの酒粕発酵成分がとても気になっていたので、実際に使えて嬉しいです。ありがとうございます！肌荒れシーズンのため、夜のみ使用していますが、ヒリヒリすることもなく安心して使えました。トナーはとろりとしたテクスチャーで、ベタつかないのにしっとり。セラムはハチミツのようにとろっとしていますが、肌にのせるとすっと浸透してなじみます。どちらもほんのりフローラルな香りで心地よいです。翌朝は肌の奥までやわらかくなったように感じ、続けてみたいと思いました。まだ使い始めたばかりですが、今後のハリ感アップにも期待しています✨,kib*** | 2026.03.01 | 1個目:セラム | 2個目:トナー,"オプション : 1個目:セラム / 2個目:トナー肌タイプ : 敏感肌肌トーン : ブルベ肌の悩み : 毛穴, しわ・たるみ","I won the sample market this time and was able to use the toner and serum♡I had been very curious about the fermented sake lees component of dopamine, so I'm glad I could actually use it. thank you! Due to rough skin season, I only use it at night, but it didn't cause any stinging and was safe to use. The toner has a thick texture and is moist without being sticky. The serum is thick like honey, but when applied to the skin, it absorbs quickly and absorbs into the skin. Both have a pleasant, slightly floral scent. The next morning, my skin felt softer and I wanted to continue using it. I have only just started using it, but I am looking forward to the improvement in firmness in the future.","이번에 샘플마켓에 당첨되어 토너와 세럼을 사용할 수 있게 되었어요♡ 도파민이라는 술지게미 성분이 너무 궁금했는데 실제로 사용할 수 있어서 기뻐요. 감사합니다! 피부가 거칠어지는 계절이라 밤에만 사용했는데 따가움도 없고 안심하고 사용했어요. 토너는 묽은 질감으로 끈적임 없이 촉촉해요. 세럼은 꿀처럼 걸쭉한 제형이지만, 피부에 바르면 빠르게 흡수되어 피부에 흡수됩니다. 둘 다 기분 좋은 약간의 꽃 향이납니다. 다음날 아침 피부가 부드러워져서 계속 사용하고 싶었어요. 이제 막 사용하기 시작했는데 앞으로 탄력이 좋아지길 기대하고 있어요.","I won the sample market this time and was able to use the toner and serum♡I had been very curious about the fermented sake lees component of dopamine, so I'm glad I could actually use it. thank you! Due to rough skin season, I only use it at night, but it didn't cause any stinging and was safe to use. The toner has a thick texture and is moist without being sticky. The serum is thick like honey, but when applied to the skin, it absorbs quickly and absorbs into the skin. Both have a pleasant, slightly floral scent. The next morning, my skin felt softer and I wanted to continue using it. I have only just started using it, but I am looking forward to the improvement in firmness in the future.","['toner serum', 'fermented sake', 'component dopamine', 'use night', 'firmness future']",사용감_텍스처,"['사용감_텍스처', '효과_성분', '향_냄새']"
1184035014,1,5,サンプルマーケットで使ってみたかったトナーとセラムが当選しました！！トナーは、さらさらした液体で桃みたいな甘い感じの匂いでした。ピリピリ感もなく、すぐ肌に馴染んでいい感じでした。セラムは、トロッとした液体でこちらも桃みたいな甘い感じの匂いでした。ベタつきもなく、少ししっとりした感じもありでもさらさらになった感じもありでした。-8歳肌と言われてるのでしばらく続けてみようと思います。1回の使用でも、これいい！って思ったのでリピありです！,mmr*** | 2026.02.26 | 1個目:セラム | 2個目:トナー,オプション : 1個目:セラム / 2個目:トナー,"I won the toner and serum that I wanted to try at the sample market! ! The toner was a smooth liquid with a sweet peach-like smell. There was no tingling sensation and it absorbed into the skin quickly and felt good. The serum was a thick liquid with a sweet peach-like smell. It wasn't sticky at all, and it felt a little moist, but also silky. -My skin is said to be 8 years old, so I plan to continue using it for a while. Even if you use it once, this is good! That's what I thought, so I'll be repeating it!",샘플마켓에서 꼭 써보고 싶었던 토너와 세럼을 당첨됐어요! ! 토너는 달콤한 복숭아 향이 나는 부드러운 액체였습니다. 따끔거림도 없고 피부에 빠르게 흡수되어 기분이 좋았습니다. 세럼은 달콤한 복숭아 향이 나는 걸쭉한 액체였습니다. 끈적임은 전혀 없고 약간 촉촉한 느낌이 들었지만 매끈한 느낌이 들었습니다. - 제 피부가 8세라고 해서 당분간 계속 사용할 예정이에요. 한번 써봐도 이거 굿! 그렇게 생각했으니 다시 복습하겠습니다!,"I won the toner and serum that I wanted to try at the sample market! ! The toner was a smooth liquid with a sweet peach-like smell. There was no tingling sensation and it absorbed into the skin quickly and felt good. The serum was a thick liquid with a sweet peach-like smell. It wasn't sticky at all, and it felt a little moist, but also silky. -My skin is said to be 8 years old, so I plan to continue using it for a while. Even if you use it once, this is good! That's what I thought, so I'll be repeating it!","['toner serum', 'smell tingling', 'moist silky', 'sweet peach', 'wasn sticky']",효과_성분,"['효과_성분', '사용감_텍스처', '향_냄새']"
1184035014,1,5,クレンジングオイルは重すぎないのにメイク落ちがよく、乳化もスムーズでした。洗い流した後も乾燥しにくく肌が柔らかくなる感じがします✨アンプルセラムはさらっとした使用感で、朝でも夜でも使いやすいテクスチャー。敏感肌でも刺激を感じにくく、デイリーケアに取り入れやすいアイテムだと思います！,m.k*** | 2026.02.24 | 1個目:クレンジング | 2個目:セラム,"オプション : 1個目:クレンジング / 2個目:セラム肌タイプ : 乾燥肌肌トーン : イエベ肌の悩み : 毛穴, しわ・たるみ","Although the cleansing oil was not too heavy, it removed makeup well and emulsified smoothly. Even after washing it off, it doesn't dry out easily and leaves your skin feeling soft. The ampoule serum has a smooth texture that makes it easy to use in the morning or at night. I think it's an item that won't irritate even sensitive skin and is easy to incorporate into your daily care!","클렌징 오일은 너무 무겁지 않은데도 메이크업이 잘 지워지고 부드럽게 유화되더라구요. 세안 후에도 쉽게 건조해지지 않고 피부가 보송보송하게 유지됩니다. 앰플 세럼은 부드러운 질감으로 아침, 저녁에 사용하기 좋습니다. 민감한 피부에도 자극적이지 않고, 데일리 케어에도 부담 없이 사용하기 좋은 아이템인 것 같아요!","Although the cleansing oil was not too heavy, it removed makeup well and emulsified smoothly. Even after washing it off, it doesn't dry out easily and leaves your skin feeling soft. The ampoule serum has a smooth texture that makes it easy to use in the morning or at night. I think it's an item that won't irritate even sensitive skin and is easy to incorporate into your daily care!","['ampoule serum', 'cleansing oil', 'makeup emulsified', 'skin easy', 'irritate sensitive']",사용감_텍스처,"['사용감_텍스처', '효과_성분', '피부_트러블_부작용']"
